,Unnamed: 0,url,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome,cuisines,diets
7652,3519,https://www.tripadvisor.it/Restaurant_Review-g187791-d21058477-Reviews-Stazione_Pizza-Rome_Lazio.html,149129576,203226088.0,Stazione Pizza,4.5,2,2.5,POINT (12.3426308 41.7780487),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Pizza,
7653,3520,https://www.tripadvisor.it/Restaurant_Review-g187791-d21059424-Reviews-Nonna_Roma-Rome_Lazio.html,176825548,316706743.0,Nonna Roma,4.5,8,2.5,POINT (12.3374447 41.7640894),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Romana, Laziale, Italiana (centro)",Per vegetariani
7654,3525,https://www.tripadvisor.it/Restaurant_Review-g187791-d21072017-Reviews-Er_Cuoppo-Rome_Lazio.html,109147400,30060055.0,Er Cuoppo,4.0,2,1.0,POINT (12.354148 41.7622271),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Pizza, Cibo di strada",
7655,3590,https://www.tripadvisor.it/Restaurant_Review-g187791-d21215043-Reviews-Il_Chioschetto-Rome_Lazio.html,109810563,33878207.0,Il Chioschetto,4.0,4,2.5,POINT (12.2957097 41.7226076),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza",
7656,3647,https://www.tripadvisor.it/Restaurant_Review-g187791-d21296858-Reviews-Meme_Hosteria-Rome_Lazio.html,130548368,125872421.0,Memè Hosteria,5.0,21,2.5,POINT (12.3762418 41.7878485),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Romana, Laziale, Italiana (centro), Mediterranea",Per vegetariani
7657,3667,https://www.tripadvisor.it/Restaurant_Review-g187791-d21317957-Reviews-Anvedi_Axa-Rome_Lazio.html,150369167,199913680.0,Anvedi Axa,4.0,69,2.5,POINT (12.3631689 41.7623508),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Romana, Laziale, Italiana (centro), Italiana, Pizza","Per vegetariani, Opzioni vegane"
7658,3712,https://www.tripadvisor.it/Restaurant_Review-g187791-d21358274-Reviews-Lounge_Sushi_Bar-Rome_Lazio.html,139595147,164945676.0,Lounge Sushi Bar,5.0,110,2.5,POINT (12.3659571 41.7834241),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Giapponese, Pesce, Sushi, Asiatica, Salutistica, Fusion giapponese","Per vegetariani, Opzioni vegane, Opzioni senza glutine"
7659,3715,https://www.tripadvisor.it/Restaurant_Review-g187791-d21365136-Reviews-Pizza_Eschilo-Rome_Lazio.html,133645646,135805184.0,Pizza Eschilo,3.0,5,2.5,POINT (12.3735621 41.769493),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Pizza, Gastronomia","Per vegetariani, Opzioni vegane"
7660,3716,https://www.tripadvisor.it/Restaurant_Review-g187791-d21367689-Reviews-Forno_Lana-Rome_Lazio.html,106546133,23206726.0,Forno Lana,4.0,1,2.5,POINT (12.3612854 41.7831581),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),Pizza,
7661,3808,https://www.tripadvisor.it/Restaurant_Review-g187791-d2175610-Reviews-La_Terrazza-Rome_Lazio.html,132838788,132367209.0,La Terrazza,4.0,160,2.5,POINT (12.3504312 41.7520957),5,6,https://it.wikipedia.org/wiki/Municipio_Roma_X,"Zone: Tor de' Cenci, Castel Porziano, Castel Fusano, Mezzocammino.","Quartieri: Lido di Ostia Ponente, Lido di Ostia Levante, Lido di Castel Fusano, Acilia.",Municipio X (ex XIII),"Italiana, Pizza, Pesce, Mediterranea",
